20-Jun-2013 11:59:25
Z:\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20130620-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-CAD-05.22.13-ch04
Sm = [0.00  0.12  0.27  0.46  0.70  1.00  0.00  0.12  0.27  0.46  0.70  1.00]
Dy = [0.00  0.12  0.27  0.46  0.70  1.00  0.00  0.12  0.27  0.46  0.70  1.00]
Tm = [0.00]
Mixer cleaning time = 6.00 sec
Mixing time = 3.00 min 30.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 3.00 min 0.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [13.30  13.89  12.60  14.00   0.38]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [17.46  18.35  18.17  14.00   0.38]
Flush/clean water: ch = 1, press = 4.00 psi
Oil: ch = 3, press = 15.00 psi
Push Water: ch = 2, press = 5.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  5,  7,  4,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C6,  C3,  C8,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
24	0.27	0.12	0.00	0.61	13.68	 0.38	 0.38	 0.38
25	0.27	0.27	0.00	0.46	0.38	 2.05	 0.38	12.70
26	0.27	0.46	0.00	0.27	0.38	6.77	0.38	7.94
27	0.27	0.70	0.00	0.03	0.38	14.27	 0.38	 0.38
28	0.27	0.00	0.00	0.73	0.38	 2.05	 0.38	12.70
29	0.27	0.12	0.00	0.61	0.38	6.77	0.38	7.94
30	0.27	0.27	0.00	0.46	0.38	14.27	 0.38	 0.38
31	0.27	0.46	0.00	0.27	1.98	 2.05	 0.38	11.02
32	0.27	0.70	0.00	0.03	1.98	6.77	0.38	6.26
33	0.46	0.00	0.00	0.54	1.98	 0.38	 0.38	12.70
34	0.46	0.12	0.00	0.42	1.98	4.13	0.38	8.92
35	0.46	0.27	0.00	0.27	1.98	10.11	 0.38	 2.90
36	0.46	0.46	0.00	0.08	3.97	2.05	0.38	8.92
37	0.46	0.00	0.00	0.54	3.97	6.77	0.38	4.16
38	0.46	0.12	0.00	0.42	3.97	 0.38	 0.38	10.60
39	0.46	0.27	0.00	0.27	3.97	4.13	0.38	6.82
40	0.46	0.46	0.00	0.08	3.97	10.11	 0.38	 0.80
41	0.70	0.00	0.00	0.30	6.50	2.05	0.38	6.26
42	0.70	0.12	0.00	0.18	6.50	6.77	0.38	1.50
43	0.70	0.27	0.00	0.03	6.50	2.05	0.38	6.26
44	0.70	0.00	0.00	0.30	6.50	6.77	0.38	1.50
45	0.70	0.12	0.00	0.18	9.69	2.05	0.38	2.90
46	0.70	0.27	0.00	0.03	9.69	0.38	0.38	4.58
47	1.00	0.00	0.00	0.00	9.69	4.13	0.38	0.80
48	1.00	0.00	0.00	0.00	13.68	 0.38	 0.38	 0.38
% Making Code # 1 = [0.00  0.00  0.00  1.00]
% Making Code # 2 = [0.00  0.12  0.00  0.88]
% Making Code # 3 = [0.00  0.27  0.00  0.73]
% Making Code # 4 = [0.00  0.46  0.00  0.54]
% Making Code # 5 = [0.00  0.70  0.00  0.30]
% Making Code # 6 = [0.00  1.00  0.00  0.00]
% Making Code # 7 = [0.00  0.00  0.00  1.00]
% Making Code # 8 = [0.00  0.12  0.00  0.88]
% Making Code # 9 = [0.00  0.27  0.00  0.73]
% Making Code # 10 = [0.00  0.46  0.00  0.54]
% Making Code # 11 = [0.00  0.70  0.00  0.30]
% Making Code # 12 = [0.00  1.00  0.00  0.00]
% Making Code # 13 = [0.12  0.00  0.00  0.88]
% Making Code # 14 = [0.12  0.12  0.00  0.76]
% Making Code # 15 = [0.12  0.27  0.00  0.61]
% Making Code # 16 = [0.12  0.46  0.00  0.42]
% Making Code # 17 = [0.12  0.70  0.00  0.18]
% Making Code # 18 = [0.12  0.00  0.00  0.88]
% Making Code # 19 = [0.12  0.12  0.00  0.76]
% Making Code # 20 = [0.12  0.27  0.00  0.61]
% Making Code # 21 = [0.12  0.46  0.00  0.42]
% Making Code # 22 = [0.12  0.70  0.00  0.18]
% Making Code # 23 = [0.27  0.00  0.00  0.73]
% Making Code # 24 = [0.27  0.12  0.00  0.61]
% Making Code # 25 = [0.27  0.27  0.00  0.46]
% Making Code # 26 = [0.27  0.46  0.00  0.27]
% Making Code # 27 = [0.27  0.70  0.00  0.03]
% Making Code # 28 = [0.27  0.00  0.00  0.73]
% Making Code # 29 = [0.27  0.12  0.00  0.61]
% Making Code # 30 = [0.27  0.27  0.00  0.46]
% Making Code # 31 = [0.27  0.46  0.00  0.27]
% Making Code # 32 = [0.27  0.70  0.00  0.03]
% Making Code # 33 = [0.46  0.00  0.00  0.54]
% Making Code # 34 = [0.46  0.12  0.00  0.42]
% Making Code # 35 = [0.46  0.27  0.00  0.27]
% Making Code # 36 = [0.46  0.46  0.00  0.08]
% Making Code # 37 = [0.46  0.00  0.00  0.54]
% Making Code # 38 = [0.46  0.12  0.00  0.42]
% Making Code # 39 = [0.46  0.27  0.00  0.27]
% Making Code # 40 = [0.46  0.46  0.00  0.08]
% Making Code # 41 = [0.70  0.00  0.00  0.30]
% Making Code # 42 = [0.70  0.12  0.00  0.18]
% Making Code # 43 = [0.70  0.27  0.00  0.03]
% Making Code # 44 = [0.70  0.00  0.00  0.30]
% Making Code # 45 = [0.70  0.12  0.00  0.18]
% Making Code # 46 = [0.70  0.27  0.00  0.03]
% Making Code # 47 = [1.00  0.00  0.00  0.00]
% Making Code # 48 = [1.00  0.00  0.00  0.00]
% Making Code # 49 = [0.00  0.00  0.00  1.00]
% Making Code # 50 = [0.00  0.12  0.00  0.88]
% Making Code # 51 = [0.00  0.27  0.00  0.73]
% Making Code # 52 = [0.00  0.46  0.00  0.54]
% Making Code # 53 = [0.00  0.70  0.00  0.30]
% Making Code # 54 = [0.00  1.00  0.00  0.00]
% Making Code # 55 = [0.00  0.00  0.00  1.00]
% Making Code # 56 = [0.00  0.12  0.00  0.88]
% Making Code # 57 = [0.00  0.27  0.00  0.73]
% Making Code # 58 = [0.00  0.46  0.00  0.54]
% Making Code # 59 = [0.00  0.70  0.00  0.30]
% Making Code # 60 = [0.00  1.00  0.00  0.00]
% Making Code # 61 = [0.12  0.00  0.00  0.88]
% Making Code # 62 = [0.12  0.12  0.00  0.76]
% Making Code # 63 = [0.12  0.27  0.00  0.61]
% Making Code # 64 = [0.12  0.46  0.00  0.42]
% Making Code # 65 = [0.12  0.70  0.00  0.18]
% Making Code # 66 = [0.12  0.00  0.00  0.88]
% Making Code # 67 = [0.12  0.12  0.00  0.76]
% Making Code # 68 = [0.12  0.27  0.00  0.61]
% Making Code # 69 = [0.12  0.46  0.00  0.42]
% Making Code # 70 = [0.12  0.70  0.00  0.18]
% Making Code # 71 = [0.27  0.00  0.00  0.73]
% Making Code # 72 = [0.27  0.12  0.00  0.61]
% Making Code # 73 = [0.27  0.27  0.00  0.46]
% Making Code # 74 = [0.27  0.46  0.00  0.27]
% Making Code # 75 = [0.27  0.70  0.00  0.03]
% Making Code # 76 = [0.27  0.00  0.00  0.73]
% Making Code # 77 = [0.27  0.12  0.00  0.61]
% Making Code # 78 = [0.27  0.27  0.00  0.46]
% Making Code # 79 = [0.27  0.46  0.00  0.27]
% Making Code # 80 = [0.27  0.70  0.00  0.03]
% Making Code # 81 = [0.46  0.00  0.00  0.54]
% Making Code # 82 = [0.46  0.12  0.00  0.42]
% Making Code # 83 = [0.46  0.27  0.00  0.27]
% Making Code # 84 = [0.46  0.46  0.00  0.08]
% Making Code # 85 = [0.46  0.00  0.00  0.54]
% Making Code # 86 = [0.46  0.12  0.00  0.42]
% Making Code # 87 = [0.46  0.27  0.00  0.27]
% Making Code # 88 = [0.46  0.46  0.00  0.08]
% Making Code # 89 = [0.70  0.00  0.00  0.30]
% Making Code # 90 = [0.70  0.12  0.00  0.18]
% Making Code # 91 = [0.70  0.27  0.00  0.03]
% Making Code # 92 = [0.70  0.00  0.00  0.30]
% Making Code # 93 = [0.70  0.12  0.00  0.18]
% Making Code # 94 = [0.70  0.27  0.00  0.03]
% Making Code # 95 = [1.00  0.00  0.00  0.00]
% Making Code # 96 = [1.00  0.00  0.00  0.00]
% DONE!
