26-Jun-2014 19:26:50
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140626-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch01
Sm = [0.00  0.06  0.14  0.24  0.37  0.55  0.78]
Dy = [0.00  0.05  0.11  0.20  0.32  0.49  0.71]
Tm = [0.00  0.06  0.15  0.28  0.47  0.76]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.89  15.12  16.00  14.00   0.29]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.50 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
74	0.14	0.00	0.00	0.86	2.31	 0.29	 0.29	12.38
75	0.14	0.00	0.06	0.80	2.31	 0.29	 1.26	11.52
76	0.14	0.00	0.15	0.71	2.31	 0.29	 2.69	10.27
77	0.14	0.00	0.28	0.58	2.31	0.29	4.79	8.44
78	0.14	0.00	0.47	0.39	2.31	0.29	7.87	5.74
79	0.14	0.00	0.76	0.11	2.31	 0.29	12.38	 1.79
80	0.14	0.05	0.00	0.82	2.31	 1.01	 0.29	11.71
81	0.14	0.05	0.06	0.75	2.31	 1.01	 1.26	10.85
82	0.14	0.05	0.15	0.67	2.31	1.01	2.69	9.60
83	0.14	0.05	0.28	0.53	2.31	1.01	4.79	7.76
84	0.14	0.05	0.47	0.34	2.31	1.01	7.87	5.07
85	0.14	0.05	0.76	0.06	2.31	 1.01	12.38	 1.12
86	0.14	0.11	0.00	0.75	2.31	 2.00	 0.29	10.79
87	0.14	0.11	0.06	0.69	2.31	2.00	1.26	9.94
88	0.14	0.11	0.15	0.60	2.31	2.00	2.69	8.69
89	0.14	0.11	0.28	0.47	2.31	2.00	4.79	6.85
90	0.14	0.11	0.47	0.28	2.31	2.00	7.87	4.16
91	0.14	0.20	0.00	0.66	2.31	3.34	0.29	9.55
92	0.14	0.20	0.06	0.60	2.31	3.34	1.26	8.70
93	0.14	0.20	0.15	0.51	2.31	3.34	2.69	7.44
94	0.14	0.20	0.28	0.38	2.31	3.34	4.79	5.61
95	0.14	0.20	0.47	0.19	2.31	3.34	7.87	2.92
96	0.14	0.32	0.00	0.54	2.31	5.16	0.29	7.86
97	0.14	0.32	0.06	0.48	2.31	5.16	1.26	7.01
98	0.14	0.32	0.15	0.39	2.31	5.16	2.69	5.76
99	0.14	0.32	0.28	0.26	2.31	5.16	4.79	3.92
100	0.14	0.32	0.47	0.07	2.31	5.16	7.87	1.23
101	0.14	0.49	0.00	0.38	2.31	7.64	0.29	5.57
102	0.14	0.49	0.06	0.32	2.31	7.64	1.26	4.71
103	0.14	0.49	0.15	0.23	2.31	7.64	2.69	3.46
104	0.14	0.49	0.28	0.10	2.31	7.64	4.79	1.63
105	0.14	0.71	0.00	0.15	2.31	11.01	 0.29	 2.45
106	0.14	0.71	0.06	0.09	2.31	11.01	 1.26	 1.59
107	0.14	0.71	0.15	0.00	2.31	11.01	 2.69	 0.34
108	0.24	0.00	0.00	0.76	3.83	 0.29	 0.29	10.96
109	0.24	0.00	0.06	0.70	3.83	 0.29	 1.26	10.10
110	0.24	0.00	0.15	0.61	3.83	0.29	2.69	8.85
111	0.24	0.00	0.28	0.48	3.83	0.29	4.79	7.01
112	0.24	0.00	0.47	0.29	3.83	0.29	7.87	4.32
113	0.24	0.00	0.76	0.01	3.83	 0.29	12.38	 0.37
114	0.24	0.05	0.00	0.71	3.83	 1.01	 0.29	10.28
115	0.24	0.05	0.06	0.65	3.83	1.01	1.26	9.43
116	0.24	0.05	0.15	0.56	3.83	1.01	2.69	8.18
117	0.24	0.05	0.28	0.43	3.83	1.01	4.79	6.34
118	0.24	0.05	0.47	0.24	3.83	1.01	7.87	3.65
119	0.24	0.11	0.00	0.65	3.83	2.00	0.29	9.37
120	0.24	0.11	0.06	0.59	3.83	2.00	1.26	8.51
121	0.24	0.11	0.15	0.50	3.83	2.00	2.69	7.26
122	0.24	0.11	0.28	0.37	3.83	2.00	4.79	5.43
123	0.24	0.11	0.47	0.18	3.83	2.00	7.87	2.74
124	0.24	0.20	0.00	0.56	3.83	3.34	0.29	8.13
125	0.24	0.20	0.06	0.50	3.83	3.34	1.26	7.27
126	0.24	0.20	0.15	0.41	3.83	3.34	2.69	6.02
127	0.24	0.20	0.28	0.28	3.83	3.34	4.79	4.19
128	0.24	0.20	0.47	0.09	3.83	3.34	7.87	1.49
129	0.24	0.32	0.00	0.44	3.83	5.16	0.29	6.44
130	0.24	0.32	0.06	0.38	3.83	5.16	1.26	5.58
131	0.24	0.32	0.15	0.29	3.83	5.16	2.69	4.33
132	0.24	0.32	0.28	0.16	3.83	5.16	4.79	2.50
133	0.24	0.49	0.00	0.28	3.83	7.64	0.29	4.14
134	0.24	0.49	0.06	0.21	3.83	7.64	1.26	3.29
135	0.24	0.49	0.15	0.13	3.83	7.64	2.69	2.04
136	0.24	0.71	0.00	0.05	3.83	11.01	 0.29	 1.02
137	0.37	0.00	0.00	0.63	5.81	0.29	0.29	9.09
138	0.37	0.00	0.06	0.57	5.81	0.29	1.26	8.23
139	0.37	0.00	0.15	0.48	5.81	0.29	2.69	6.98
140	0.37	0.00	0.28	0.35	5.81	0.29	4.79	5.15
141	0.37	0.00	0.47	0.15	5.81	0.29	7.87	2.45
142	0.37	0.05	0.00	0.58	5.81	1.01	0.29	8.41
143	0.37	0.05	0.06	0.52	5.81	1.01	1.26	7.56
144	0.37	0.05	0.15	0.43	5.81	1.01	2.69	6.31
145	0.37	0.05	0.28	0.30	5.81	1.01	4.79	4.47
146	0.37	0.05	0.47	0.11	5.81	1.01	7.87	1.78
147	0.37	0.11	0.00	0.52	5.81	2.00	0.29	7.50
148	0.37	0.11	0.06	0.45	5.81	2.00	1.26	6.65
149	0.37	0.11	0.15	0.36	5.81	2.00	2.69	5.39
150	0.37	0.11	0.28	0.23	5.81	2.00	4.79	3.56
151	0.37	0.11	0.47	0.04	5.81	2.00	7.87	0.87
152	0.37	0.20	0.00	0.43	5.81	3.34	0.29	6.26
153	0.37	0.20	0.06	0.37	5.81	3.34	1.26	5.40
154	0.37	0.20	0.15	0.28	5.81	3.34	2.69	4.15
155	0.37	0.20	0.28	0.15	5.81	3.34	4.79	2.32
156	0.37	0.32	0.00	0.31	5.81	5.16	0.29	4.57
157	0.37	0.32	0.06	0.25	5.81	5.16	1.26	3.72
158	0.37	0.32	0.15	0.16	5.81	5.16	2.69	2.46
159	0.37	0.32	0.28	0.02	5.81	5.16	4.79	0.63
160	0.37	0.49	0.00	0.14	5.81	7.64	0.29	2.28
161	0.37	0.49	0.06	0.08	5.81	7.64	1.26	1.42
162	0.55	0.00	0.00	0.45	8.42	0.29	0.29	6.63
163	0.55	0.00	0.06	0.39	8.42	0.29	1.26	5.78
164	0.55	0.00	0.15	0.30	8.42	0.29	2.69	4.53
