0.2,0.362,0.2221,0
0,0.14702,0.35455,0.12714
0.2,0.362,0.1246,0.24149
0,0,0.05283,0.85981
0,0.081633,0.05283,0.092358
0,0.034286,0.1246,0.067173
0.2,0.034286,0.1246,0.067173
0.2,0.23731,0.35455,0
0,0,0.1246,0.13015
0.79365,0,0.1246,0.048936
0.2,0.034286,0.2221,0.36366
0,0.081633,0,0.24563
0.2,0.034286,0.35455,0.067173
0,0,0.1246,0.26493
0,0.362,0.1246,0
0,0.081633,0.53448,0.092358
0,0,0.77892,0.13015
0.2,0.14702,0,0
0,0,0.53448,0.13015
0.2,0.14702,0.2221,0
0,0.23731,0.05283,0.17516
0.2,0,0.35455,0
0,0,0,0.048936
0.2,0.034286,0,0.067173
0.2,0.034286,0,0.17865
0.2,0.362,0.05283,0
0,0,0,0.48861
0.79365,0.081633,0.05283,0
0.2,0.23731,0.53448,0
0.2,0.081633,0,0
0.2,0,0.2221,0.13015
0,0.362,0.2221,0
0.2,0,0.35455,0.26493
0.79365,0.034286,0,0
0.2,0,0.2221,0.48861
0.2,0.53419,0,0
0,0,0.1246,0.048936
0,0.034286,0.2221,0.067173
0,0.53419,0.1246,0
0.79365,0.034286,0.1246,0
0.2,0,0.1246,0.048936
0.2,0.034286,0.35455,0
0.2,0,0.05283,0.26493
0.2,0.14702,0.53448,0
0.2,0,0.2221,0
0,0.081633,0.35455,0.5
0,0.362,0,0
0.2,0.081633,0,0.24563
0.2,0.034286,0,0.36366
0,0.081633,0,0.5
0,0.034286,0.35455,0.36366
0.2,0.034286,0.05283,0.067173
0.2,0.23731,0.1246,0.17516
0,0.034286,0.35455,0
0.2,0.23731,0,0.17516
0.79365,0.14702,0.05283,0
0,0.14702,0.2221,0
0,0,0.1246,0.85981
0.2,0.14702,0.1246,0.12714
0,0.23731,0,0.46586
0,0.034286,0.2221,0
0,0.034286,0.2221,0.17865
0,0.23731,0.05283,0
0.2,0,0.1246,0.48861
0.2,0.034286,0,0.67069
0.2,0.14702,0.35455,0
0,0.081633,0.35455,0
0.2,0,0.53448,0.048936
0,0.081633,0.35455,0.24563
0.2,0,0,0.26493
0.2,0.53419,0.05283,0
0.2,0.081633,0.2221,0
0,0.23731,0.1246,0
0,0.362,0.1246,0.24149
0,0.362,0.35455,0
0,0.034286,0.2221,0.67069
0.2,0,0,0.48861
0.2,0.034286,0.53448,0.17865
0,0,0.05283,0.13015
0,0.362,0.53448,0
0.2,0.23731,0.1246,0
0,0.14702,0.2221,0.33813
0.2,0.081633,0.35455,0.092358
0.2,0.23731,0.05283,0
0,0.53419,0.05283,0
0,0,0.35455,0
0,0.034286,0,0.67069
0.2,0.53419,0.2221,0
0.79365,0,0,0.048936
0.2,0.53419,0.1246,0
0.2,0.14702,0.1246,0.33813
0.2,0.081633,0.05283,0.5
0,0.034286,0.53448,0.36366
0,0,0.77892,0
0.2,0.23731,0,0.46586
0.2,0,0.77892,0
0.2,0.034286,0.05283,0.17865
0,0.23731,0.35455,0.17516
0.2,0.23731,0.05283,0.46586
0.2,0.362,0,0
0.2,0,0,0.048936
0,0.23731,0.2221,0
0.2,0.034286,0.2221,0.17865
0,0.081633,0.77892,0
0,0.53419,0.1246,0.33308
0,0.034286,0,0
0,0.14702,0.53448,0
0,0.034286,0,0.17865
0.2,0.14702,0.2221,0.12714
0,0.034286,0.05283,0.67069
0,0.081633,0.1246,0.092358
0,0,0.2221,0.13015
0,0.14702,0.77892,0
0,0.362,0,0.24149
0,0.081633,0.05283,0
0,0.081633,0.05283,0.5
0,0.034286,0.77892,0.067173
0,0.53419,0.2221,0
0.2,0.14702,0.05283,0.12714
0,0.081633,0.1246,0.24563
