03-Jul-2014 10:57:53
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140703-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch03
Sm = [0.00  0.04  0.09  0.15  0.22  0.31  0.41  0.54  0.70  0.89]
Dy = [0.00  0.03  0.07  0.12  0.19  0.26  0.36  0.48  0.63  0.82]
Tm = [0.30]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.39  14.48  16.94  14.00   0.23]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 6.20 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C6]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.30	0.70	0.23	 0.23	 5.31	10.03
2	0.00	0.03	0.30	0.67	0.23	0.70	5.31	9.57
3	0.00	0.07	0.30	0.63	0.23	1.29	5.31	9.00
4	0.00	0.12	0.30	0.58	0.23	2.02	5.31	8.30
5	0.00	0.19	0.30	0.51	0.23	2.93	5.31	7.42
6	0.00	0.26	0.30	0.44	0.23	4.06	5.31	6.32
7	0.00	0.36	0.30	0.34	0.23	5.47	5.31	4.96
8	0.00	0.48	0.30	0.22	0.23	7.22	5.31	3.27
9	0.00	0.63	0.30	0.07	0.23	9.40	5.31	1.16
10	0.04	0.00	0.30	0.66	0.81	0.23	5.31	9.46
11	0.04	0.03	0.30	0.63	0.81	0.70	5.31	9.01
12	0.04	0.07	0.30	0.59	0.81	1.29	5.31	8.44
13	0.04	0.12	0.30	0.54	0.81	2.02	5.31	7.73
14	0.04	0.19	0.30	0.47	0.81	2.93	5.31	6.85
15	0.04	0.26	0.30	0.40	0.81	4.06	5.31	5.76
16	0.04	0.36	0.30	0.30	0.81	5.47	5.31	4.40
17	0.04	0.48	0.30	0.18	0.81	7.22	5.31	2.70
18	0.04	0.63	0.30	0.03	0.81	9.40	5.31	0.60
19	0.09	0.00	0.30	0.61	1.51	0.23	5.31	8.78
20	0.09	0.03	0.30	0.58	1.51	0.70	5.31	8.32
21	0.09	0.07	0.30	0.54	1.51	1.29	5.31	7.75
22	0.09	0.12	0.30	0.49	1.51	2.02	5.31	7.05
23	0.09	0.19	0.30	0.42	1.51	2.93	5.31	6.17
24	0.09	0.26	0.30	0.35	1.51	4.06	5.31	5.07
25	0.09	0.36	0.30	0.25	1.51	5.47	5.31	3.71
26	0.09	0.48	0.30	0.13	1.51	7.22	5.31	2.02
27	0.15	0.00	0.30	0.55	2.37	0.23	5.31	7.95
28	0.15	0.03	0.30	0.52	2.37	0.70	5.31	7.49
29	0.15	0.07	0.30	0.48	2.37	1.29	5.31	6.92
30	0.15	0.12	0.30	0.43	2.37	2.02	5.31	6.22
31	0.15	0.19	0.30	0.36	2.37	2.93	5.31	5.34
32	0.15	0.26	0.30	0.29	2.37	4.06	5.31	4.24
33	0.15	0.36	0.30	0.19	2.37	5.47	5.31	2.88
34	0.15	0.48	0.30	0.07	2.37	7.22	5.31	1.19
35	0.22	0.00	0.30	0.48	3.40	0.23	5.31	6.94
36	0.22	0.03	0.30	0.45	3.40	0.70	5.31	6.48
37	0.22	0.07	0.30	0.41	3.40	1.29	5.31	5.91
38	0.22	0.12	0.30	0.36	3.40	2.02	5.31	5.21
39	0.22	0.19	0.30	0.29	3.40	2.93	5.31	4.33
40	0.22	0.26	0.30	0.21	3.40	4.06	5.31	3.23
41	0.22	0.36	0.30	0.12	3.40	5.47	5.31	1.87
42	0.31	0.00	0.30	0.39	4.66	0.23	5.31	5.71
43	0.31	0.03	0.30	0.36	4.66	0.70	5.31	5.26
44	0.31	0.07	0.30	0.32	4.66	1.29	5.31	4.69
45	0.31	0.12	0.30	0.27	4.66	2.02	5.31	3.98
46	0.31	0.19	0.30	0.21	4.66	2.93	5.31	3.10
47	0.31	0.26	0.30	0.13	4.66	4.06	5.31	2.01
48	0.31	0.36	0.30	0.03	4.66	5.47	5.31	0.65
49	0.41	0.00	0.30	0.29	6.20	0.23	5.31	4.22
50	0.41	0.03	0.30	0.25	6.20	0.70	5.31	3.77
51	0.41	0.07	0.30	0.21	6.20	1.29	5.31	3.20
52	0.41	0.12	0.30	0.16	6.20	2.02	5.31	2.49
53	0.41	0.19	0.30	0.10	6.20	2.93	5.31	1.61
54	0.41	0.26	0.30	0.02	6.20	4.06	5.31	0.52
55	0.54	0.00	0.30	0.16	8.05	0.23	5.31	2.42
56	0.54	0.03	0.30	0.12	8.05	0.70	5.31	1.96
57	0.54	0.07	0.30	0.08	8.05	1.29	5.31	1.39
58	0.54	0.12	0.30	0.03	8.05	2.02	5.31	0.68
Mixer 2
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.30	0.70	0.29	 0.29	 5.06	10.09
2	0.00	0.03	0.30	0.67	0.29	0.77	5.06	9.63
3	0.00	0.07	0.30	0.63	0.29	1.36	5.06	9.06
4	0.00	0.12	0.30	0.58	0.29	2.11	5.06	8.35
5	0.00	0.19	0.30	0.51	0.29	3.04	5.06	7.47
6	0.00	0.26	0.30	0.44	0.29	4.19	5.06	6.38
7	0.00	0.36	0.30	0.34	0.29	5.62	5.06	5.02
8	0.00	0.48	0.30	0.22	0.29	7.40	5.06	3.33
9	0.00	0.63	0.30	0.07	0.29	9.62	5.06	1.22
10	0.04	0.00	0.30	0.66	0.89	0.29	5.06	9.52
11	0.04	0.03	0.30	0.63	0.89	0.77	5.06	9.07
12	0.04	0.07	0.30	0.59	0.89	1.36	5.06	8.50
13	0.04	0.12	0.30	0.54	0.89	2.11	5.06	7.79
14	0.04	0.19	0.30	0.47	0.89	3.04	5.06	6.91
15	0.04	0.26	0.30	0.40	0.89	4.19	5.06	5.82
16	0.04	0.36	0.30	0.30	0.89	5.62	5.06	4.45
17	0.04	0.48	0.30	0.18	0.89	7.40	5.06	2.76
18	0.04	0.63	0.30	0.03	0.89	9.62	5.06	0.65
19	0.09	0.00	0.30	0.61	1.62	0.29	5.06	8.84
20	0.09	0.03	0.30	0.58	1.62	0.77	5.06	8.38
21	0.09	0.07	0.30	0.54	1.62	1.36	5.06	7.81
22	0.09	0.12	0.30	0.49	1.62	2.11	5.06	7.11
23	0.09	0.19	0.30	0.42	1.62	3.04	5.06	6.23
24	0.09	0.26	0.30	0.35	1.62	4.19	5.06	5.13
25	0.09	0.36	0.30	0.25	1.62	5.62	5.06	3.77
26	0.09	0.48	0.30	0.13	1.62	7.40	5.06	2.08
27	0.15	0.00	0.30	0.55	2.51	0.29	5.06	8.01
28	0.15	0.03	0.30	0.52	2.51	0.77	5.06	7.55
29	0.15	0.07	0.30	0.48	2.51	1.36	5.06	6.98
30	0.15	0.12	0.30	0.43	2.51	2.11	5.06	6.27
31	0.15	0.19	0.30	0.36	2.51	3.04	5.06	5.39
32	0.15	0.26	0.30	0.29	2.51	4.19	5.06	4.30
33	0.15	0.36	0.30	0.19	2.51	5.62	5.06	2.94
34	0.15	0.48	0.30	0.07	2.51	7.40	5.06	1.24
35	0.22	0.00	0.30	0.48	3.59	0.29	5.06	7.00
36	0.22	0.03	0.30	0.45	3.59	0.77	5.06	6.54
37	0.22	0.07	0.30	0.41	3.59	1.36	5.06	5.97
38	0.22	0.12	0.30	0.36	3.59	2.11	5.06	5.26
39	0.22	0.19	0.30	0.29	3.59	3.04	5.06	4.38
40	0.22	0.26	0.30	0.21	3.59	4.19	5.06	3.29
41	0.22	0.36	0.30	0.12	3.59	5.62	5.06	1.93
42	0.31	0.00	0.30	0.39	4.90	0.29	5.06	5.77
43	0.31	0.03	0.30	0.36	4.90	0.77	5.06	5.31
44	0.31	0.07	0.30	0.32	4.90	1.36	5.06	4.75
45	0.31	0.12	0.30	0.27	4.90	2.11	5.06	4.04
46	0.31	0.19	0.30	0.21	4.90	3.04	5.06	3.16
47	0.31	0.26	0.30	0.13	4.90	4.19	5.06	2.07
48	0.31	0.36	0.30	0.03	4.90	5.62	5.06	0.70
49	0.41	0.00	0.30	0.29	6.49	0.29	5.06	4.28
50	0.41	0.03	0.30	0.25	6.49	0.77	5.06	3.82
51	0.41	0.07	0.30	0.21	6.49	1.36	5.06	3.26
