02-Jul-2014 17:44:05
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140702-02.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch03
Sm = [0.00  0.04  0.09  0.15  0.22  0.31  0.41  0.54  0.70  0.89]
Dy = [0.00  0.03  0.07  0.12  0.19  0.26  0.36  0.48  0.63  0.82]
Tm = [0.00]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.42  14.73  16.48  14.00   0.23]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C6]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
74	0.70	0.00	0.00	0.30	10.33	 0.23	 0.23	 4.42
75	0.70	0.03	0.00	0.27	10.33	 0.71	 0.23	 3.96
76	0.70	0.07	0.00	0.23	10.33	 1.31	 0.23	 3.40
77	0.70	0.12	0.00	0.18	10.33	 2.05	 0.23	 2.69
78	0.70	0.19	0.00	0.11	10.33	 2.98	 0.23	 1.81
79	0.70	0.26	0.00	0.03	10.33	 4.13	 0.23	 0.71
80	0.89	0.00	0.00	0.11	13.07	 0.23	 0.23	 1.76
81	0.89	0.03	0.00	0.08	13.07	 0.71	 0.23	 1.30
82	0.89	0.07	0.00	0.04	13.07	 1.31	 0.23	 0.73
Mixer 2
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.29	 0.29	 0.29	14.29
2	0.00	0.03	0.00	0.97	0.29	 0.77	 0.29	13.83
3	0.00	0.07	0.00	0.93	0.29	 1.36	 0.29	13.26
4	0.00	0.12	0.00	0.88	0.29	 2.11	 0.29	12.55
5	0.00	0.19	0.00	0.81	0.29	 3.04	 0.29	11.67
6	0.00	0.26	0.00	0.74	0.29	 4.19	 0.29	10.58
7	0.00	0.36	0.00	0.64	0.29	5.62	0.29	9.22
8	0.00	0.48	0.00	0.52	0.29	7.40	0.29	7.53
9	0.00	0.63	0.00	0.37	0.29	9.62	0.29	5.42
10	0.00	0.82	0.00	0.18	0.29	12.38	 0.29	 2.80
11	0.04	0.00	0.00	0.96	0.89	 0.29	 0.29	13.72
12	0.04	0.03	0.00	0.93	0.89	 0.77	 0.29	13.27
13	0.04	0.07	0.00	0.89	0.89	 1.36	 0.29	12.70
14	0.04	0.12	0.00	0.84	0.89	 2.11	 0.29	11.99
15	0.04	0.19	0.00	0.77	0.89	 3.04	 0.29	11.11
16	0.04	0.26	0.00	0.70	0.89	 4.19	 0.29	10.02
17	0.04	0.36	0.00	0.60	0.89	5.62	0.29	8.65
18	0.04	0.48	0.00	0.48	0.89	7.40	0.29	6.96
19	0.04	0.63	0.00	0.33	0.89	9.62	0.29	4.85
20	0.04	0.82	0.00	0.14	0.89	12.38	 0.29	 2.23
21	0.09	0.00	0.00	0.91	1.62	 0.29	 0.29	13.04
22	0.09	0.03	0.00	0.88	1.62	 0.77	 0.29	12.58
23	0.09	0.07	0.00	0.84	1.62	 1.36	 0.29	12.01
24	0.09	0.12	0.00	0.79	1.62	 2.11	 0.29	11.31
25	0.09	0.19	0.00	0.72	1.62	 3.04	 0.29	10.43
26	0.09	0.26	0.00	0.65	1.62	4.19	0.29	9.33
27	0.09	0.36	0.00	0.55	1.62	5.62	0.29	7.97
28	0.09	0.48	0.00	0.43	1.62	7.40	0.29	6.28
29	0.09	0.63	0.00	0.28	1.62	9.62	0.29	4.17
30	0.09	0.82	0.00	0.09	1.62	12.38	 0.29	 1.55
31	0.15	0.00	0.00	0.85	2.51	 0.29	 0.29	12.21
32	0.15	0.03	0.00	0.82	2.51	 0.77	 0.29	11.75
33	0.15	0.07	0.00	0.78	2.51	 1.36	 0.29	11.18
34	0.15	0.12	0.00	0.73	2.51	 2.11	 0.29	10.47
35	0.15	0.19	0.00	0.66	2.51	3.04	0.29	9.59
36	0.15	0.26	0.00	0.59	2.51	4.19	0.29	8.50
37	0.15	0.36	0.00	0.49	2.51	5.62	0.29	7.14
38	0.15	0.48	0.00	0.37	2.51	7.40	0.29	5.44
39	0.15	0.63	0.00	0.22	2.51	9.62	0.29	3.34
40	0.15	0.82	0.00	0.03	2.51	12.38	 0.29	 0.72
41	0.22	0.00	0.00	0.78	3.59	 0.29	 0.29	11.20
42	0.22	0.03	0.00	0.75	3.59	 0.77	 0.29	10.74
43	0.22	0.07	0.00	0.71	3.59	 1.36	 0.29	10.17
44	0.22	0.12	0.00	0.66	3.59	2.11	0.29	9.46
45	0.22	0.19	0.00	0.59	3.59	3.04	0.29	8.58
46	0.22	0.26	0.00	0.51	3.59	4.19	0.29	7.49
47	0.22	0.36	0.00	0.42	3.59	5.62	0.29	6.13
48	0.22	0.48	0.00	0.30	3.59	7.40	0.29	4.44
49	0.22	0.63	0.00	0.15	3.59	9.62	0.29	2.33
50	0.31	0.00	0.00	0.69	4.90	0.29	0.29	9.97
51	0.31	0.03	0.00	0.66	4.90	0.77	0.29	9.51
52	0.31	0.07	0.00	0.62	4.90	1.36	0.29	8.95
53	0.31	0.12	0.00	0.57	4.90	2.11	0.29	8.24
54	0.31	0.19	0.00	0.51	4.90	3.04	0.29	7.36
55	0.31	0.26	0.00	0.43	4.90	4.19	0.29	6.27
56	0.31	0.36	0.00	0.33	4.90	5.62	0.29	4.90
57	0.31	0.48	0.00	0.21	4.90	7.40	0.29	3.21
58	0.31	0.63	0.00	0.06	4.90	9.62	0.29	1.10
59	0.41	0.00	0.00	0.59	6.49	0.29	0.29	8.48
60	0.41	0.03	0.00	0.55	6.49	0.77	0.29	8.02
61	0.41	0.07	0.00	0.51	6.49	1.36	0.29	7.46
62	0.41	0.12	0.00	0.46	6.49	2.11	0.29	6.75
63	0.41	0.19	0.00	0.40	6.49	3.04	0.29	5.87
64	0.41	0.26	0.00	0.32	6.49	4.19	0.29	4.78
65	0.41	0.36	0.00	0.22	6.49	5.62	0.29	3.41
66	0.41	0.48	0.00	0.10	6.49	7.40	0.29	1.72
67	0.54	0.00	0.00	0.46	8.42	0.29	0.29	6.67
68	0.54	0.03	0.00	0.42	8.42	0.77	0.29	6.22
69	0.54	0.07	0.00	0.38	8.42	1.36	0.29	5.65
70	0.54	0.12	0.00	0.33	8.42	2.11	0.29	4.94
71	0.54	0.19	0.00	0.27	8.42	3.04	0.29	4.06
72	0.54	0.26	0.00	0.19	8.42	4.19	0.29	2.97
73	0.54	0.36	0.00	0.09	8.42	5.62	0.29	1.61
74	0.70	0.00	0.00	0.30	10.77	 0.29	 0.29	 4.48
75	0.70	0.03	0.00	0.27	10.77	 0.77	 0.29	 4.02
76	0.70	0.07	0.00	0.23	10.77	 1.36	 0.29	 3.45
77	0.70	0.12	0.00	0.18	10.77	 2.11	 0.29	 2.75
78	0.70	0.19	0.00	0.11	10.77	 3.04	 0.29	 1.87
79	0.70	0.26	0.00	0.03	10.77	 4.19	 0.29	 0.77
80	0.89	0.00	0.00	0.11	13.62	 0.29	 0.29	 1.81
81	0.89	0.03	0.00	0.08	13.62	 0.77	 0.29	 1.36
82	0.89	0.07	0.00	0.04	13.62	 1.36	 0.29	 0.79
% Making Code # 1 = [0.00  0.00  0.00  1.00]
% Making Code # 2 = [0.00  0.03  0.00  0.97]
% Making Code # 3 = [0.00  0.07  0.00  0.93]
% Making Code # 4 = [0.00  0.12  0.00  0.88]
% Making Code # 5 = [0.00  0.19  0.00  0.81]
% Making Code # 6 = [0.00  0.26  0.00  0.74]
% Making Code # 7 = [0.00  0.36  0.00  0.64]
% Making Code # 8 = [0.00  0.48  0.00  0.52]
% Making Code # 9 = [0.00  0.63  0.00  0.37]
% Making Code # 10 = [0.00  0.82  0.00  0.18]
% Making Code # 11 = [0.04  0.00  0.00  0.96]
% Making Code # 12 = [0.04  0.03  0.00  0.93]
% Making Code # 13 = [0.04  0.07  0.00  0.89]
