21-Nov-2014 16:52:38
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20141121-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.25.14-ch03
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, CeTb, Eu, mix] [15.98  14.62  15.27  17.05  14.00   0.63]
Resistances Mix2r 2 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.97  14.74  15.90  14.00  14.00   0.29]
Oil: ch = 3, press = 8.00 psi
Push Water: ch = 2, press = 7.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, CeTb, Eu]  [6,  7,  4,  1,  5,]
Lanthanide Valves: [Sm, Dy, Tm, CeTb, Eu]  [C2,  C3,  C4,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
1	0.22	0.36	0.00	0.20	0.22	4.18	5.93	0.63	4.04	3.66
2	0.35	0.15	0.13	0.00	0.37	6.30	2.78	2.57	0.63	5.83
3	0.12	0.36	0.24	0.20	0.07	2.63	5.93	4.32	4.04	1.64
4	0.05	0.00	0.86	0.00	0.09	1.48	 0.63	13.76	 0.63	 1.86
5	0.05	0.08	0.09	0.00	0.77	1.48	 1.83	 2.04	 0.63	11.46
6	0.12	0.03	0.07	0.00	0.77	2.63	 1.14	 1.66	 0.63	11.47
7	0.12	0.03	0.07	0.20	0.57	2.63	1.14	1.66	4.04	8.67
8	0.35	0.24	0.00	0.20	0.21	6.30	4.10	0.63	4.04	3.55
9	0.12	0.00	0.13	0.00	0.75	2.63	 0.63	 2.62	 0.63	11.07
10	0.12	0.00	0.05	0.79	0.03	2.63	 0.63	 1.38	14.17	 1.09
11	0.22	0.03	0.36	0.20	0.18	4.18	1.14	6.19	4.04	3.15
12	0.00	0.08	0.25	0.00	0.67	0.63	 1.83	 4.38	 0.63	10.05
13	0.35	0.03	0.07	0.20	0.34	6.30	1.14	1.66	4.04	5.45
14	0.12	0.00	0.26	0.00	0.61	2.63	0.63	4.68	0.63	9.18
15	0.12	0.36	0.00	0.00	0.51	2.63	5.93	0.63	0.63	7.82
16	0.53	0.08	0.09	0.00	0.29	9.18	1.83	2.04	0.63	4.72
17	0.78	0.00	0.13	0.00	0.09	13.08	 0.63	 2.62	 0.63	 1.91
18	0.00	0.15	0.00	0.20	0.65	0.63	2.78	0.63	4.04	9.78
19	0.53	0.00	0.13	0.00	0.34	9.18	0.63	2.62	0.63	5.33
20	0.22	0.15	0.00	0.20	0.43	4.18	2.78	0.63	4.04	6.67
21	0.05	0.24	0.18	0.00	0.53	1.48	4.10	3.31	0.63	8.12
22	0.35	0.00	0.00	0.20	0.45	6.30	0.63	0.63	4.04	6.87
23	0.00	0.00	0.05	0.00	0.95	0.63	 0.63	 1.38	 0.63	13.95
24	0.00	0.03	0.07	0.20	0.70	0.63	 1.14	 1.66	 4.04	10.41
25	0.00	0.03	0.18	0.20	0.59	0.63	1.14	3.36	4.04	8.85
26	0.05	0.36	0.00	0.20	0.39	1.48	5.93	0.63	4.04	6.03
27	0.00	0.00	0.49	0.00	0.51	0.63	0.63	8.09	0.63	7.79
28	0.05	0.08	0.00	0.79	0.07	1.48	 1.83	 0.63	14.17	 1.64
29	0.53	0.24	0.00	0.20	0.03	9.18	4.10	0.63	4.04	1.03
30	0.00	0.08	0.00	0.20	0.72	0.63	 1.83	 0.63	 4.04	10.69
31	0.22	0.00	0.13	0.20	0.45	4.18	0.63	2.62	4.04	6.90
32	0.22	0.36	0.00	0.00	0.42	4.18	5.93	0.63	0.63	6.46
33	0.35	0.00	0.26	0.20	0.18	6.30	0.63	4.68	4.04	3.16
34	0.00	0.03	0.00	0.79	0.17	0.63	 1.14	 0.63	14.17	 3.04
35	0.22	0.00	0.49	0.20	0.09	4.18	0.63	8.09	4.04	1.88
36	0.00	0.53	0.00	0.20	0.27	0.63	8.45	0.63	4.04	4.36
37	0.12	0.00	0.05	0.00	0.83	2.63	 0.63	 1.38	 0.63	12.20
38	0.22	0.03	0.07	0.00	0.68	4.18	 1.14	 1.66	 0.63	10.10
39	0.12	0.53	0.00	0.00	0.34	2.63	8.45	0.63	0.63	5.41
40	0.12	0.03	0.00	0.79	0.05	2.63	 1.14	 0.63	14.17	 1.30
41	0.12	0.00	0.05	0.20	0.63	2.63	0.63	1.38	4.04	9.40
42	0.35	0.03	0.00	0.20	0.41	6.30	1.14	0.63	4.04	6.39
43	0.05	0.00	0.26	0.20	0.48	1.48	0.63	4.68	4.04	7.39
44	0.53	0.15	0.00	0.20	0.12	9.18	2.78	0.63	4.04	2.29
45	0.22	0.00	0.00	0.20	0.58	4.18	0.63	0.63	4.04	8.72
46	0.35	0.08	0.50	0.00	0.06	6.30	1.83	8.27	0.63	1.53
47	0.00	0.36	0.00	0.00	0.64	0.63	5.93	0.63	0.63	9.57
48	0.00	0.08	0.25	0.20	0.47	0.63	1.83	4.38	4.04	7.25
49	0.00	0.03	0.36	0.20	0.40	0.63	1.14	6.19	4.04	6.26
50	0.00	0.08	0.50	0.00	0.42	0.63	1.83	8.27	0.63	6.49
51	0.35	0.03	0.36	0.00	0.25	6.30	1.14	6.19	0.63	4.10
52	0.05	0.03	0.07	0.20	0.65	1.48	1.14	1.66	4.04	9.67
53	0.12	0.24	0.18	0.20	0.26	2.63	4.10	3.31	4.04	4.32
54	0.35	0.03	0.00	0.00	0.61	6.30	1.14	0.63	0.63	9.19
55	0.00	0.24	0.18	0.20	0.39	0.63	4.10	3.31	4.04	6.06
56	0.05	0.15	0.00	0.79	0.01	1.48	 2.78	 0.63	14.17	 0.73
57	0.22	0.15	0.00	0.00	0.63	4.18	2.78	0.63	0.63	9.47
58	0.12	0.00	0.86	0.00	0.02	2.63	 0.63	13.76	 0.63	 0.85
59	0.12	0.15	0.13	0.20	0.40	2.63	2.78	2.57	4.04	6.25
60	0.00	0.24	0.47	0.00	0.30	0.63	4.10	7.75	0.63	4.79
61	0.22	0.03	0.00	0.00	0.74	4.18	 1.14	 0.63	 0.63	11.04
62	0.22	0.03	0.18	0.00	0.56	4.18	1.14	3.36	0.63	8.54
63	0.05	0.24	0.00	0.00	0.71	1.48	 4.10	 0.63	 0.63	10.57
64	0.12	0.00	0.49	0.20	0.19	2.63	0.63	8.09	4.04	3.25
65	0.00	0.03	0.67	0.20	0.10	0.63	 1.14	10.87	 4.04	 1.96
66	0.35	0.15	0.00	0.20	0.30	6.30	2.78	0.63	4.04	4.81
67	0.35	0.08	0.00	0.00	0.56	6.30	1.83	0.63	0.63	8.53
68	0.53	0.00	0.05	0.20	0.22	9.18	0.63	1.38	4.04	3.67
69	0.35	0.08	0.25	0.00	0.32	6.30	1.83	4.38	0.63	5.09
70	0.00	0.00	0.26	0.20	0.54	0.63	0.63	4.68	4.04	8.13
71	0.05	0.53	0.00	0.20	0.21	1.48	8.45	0.63	4.04	3.62
72	0.22	0.08	0.00	0.20	0.50	4.18	1.83	0.63	4.04	7.58
73	0.12	0.24	0.00	0.00	0.64	2.63	4.10	0.63	0.63	9.57
74	0.12	0.36	0.24	0.00	0.27	2.63	5.93	4.32	0.63	4.44
75	0.35	0.36	0.00	0.00	0.28	6.30	5.93	0.63	0.63	4.60
76	0.22	0.03	0.67	0.00	0.07	4.18	 1.14	10.87	 0.63	 1.65
77	0.00	0.00	0.49	0.20	0.31	0.63	0.63	8.09	4.04	4.99
78	0.53	0.03	0.18	0.20	0.05	9.18	1.14	3.36	4.04	1.37
79	0.05	0.00	0.13	0.00	0.82	1.48	 0.63	 2.62	 0.63	12.07
80	0.53	0.36	0.00	0.00	0.10	9.18	5.93	0.63	0.63	2.08
81	0.12	0.24	0.00	0.20	0.44	2.63	4.10	0.63	4.04	6.77
82	0.22	0.15	0.34	0.00	0.29	4.18	2.78	5.80	0.63	4.73
83	0.35	0.08	0.09	0.20	0.27	6.30	1.83	2.04	4.04	4.43
84	0.05	0.24	0.00	0.20	0.51	1.48	4.10	0.63	4.04	7.77
85	0.05	0.53	0.00	0.00	0.41	1.48	8.45	0.63	0.63	6.42
86	0.35	0.00	0.00	0.00	0.65	6.30	0.63	0.63	0.63	9.67
87	0.00	0.03	0.67	0.00	0.30	0.63	 1.14	10.87	 0.63	 4.76
88	0.22	0.53	0.00	0.20	0.04	4.18	8.45	0.63	4.04	1.25
89	0.00	0.00	0.05	0.79	0.16	0.63	 0.63	 1.38	14.17	 2.84
90	0.12	0.53	0.00	0.20	0.14	2.63	8.45	0.63	4.04	2.61
91	0.12	0.15	0.34	0.20	0.19	2.63	2.78	5.80	4.04	3.30
92	0.05	0.08	0.50	0.20	0.17	1.48	1.83	8.27	4.04	2.95
93	0.53	0.03	0.36	0.00	0.07	9.18	1.14	6.19	0.63	1.58
94	0.78	0.00	0.00	0.00	0.22	13.08	 0.63	 0.63	 0.63	 3.73
95	0.00	0.24	0.47	0.20	0.10	0.63	4.10	7.75	4.04	1.99
96	0.78	0.00	0.00	0.20	0.02	13.08	 0.63	 0.63	 4.04	 0.93
97	0.05	0.03	0.18	0.20	0.53	1.48	1.14	3.36	4.04	8.11
98	0.35	0.24	0.18	0.00	0.23	6.30	4.10	3.31	0.63	3.90
99	0.05	0.24	0.47	0.20	0.04	1.48	4.10	7.75	4.04	1.25
100	0.00	0.36	0.00	0.20	0.44	0.63	5.93	0.63	4.04	6.77
101	0.00	0.00	0.05	0.20	0.75	0.63	 0.63	 1.38	 4.04	11.15
102	0.22	0.24	0.00	0.00	0.54	4.18	4.10	0.63	0.63	8.20
103	0.22	0.03	0.18	0.20	0.36	4.18	1.14	3.36	4.04	5.74
104	0.78	0.08	0.00	0.00	0.14	13.08	 1.83	 0.63	 0.63	 2.59
105	0.12	0.53	0.33	0.00	0.01	2.63	8.45	5.72	0.63	0.75
106	0.00	0.03	0.00	0.00	0.97	0.63	 1.14	 0.63	 0.63	14.15
107	0.53	0.15	0.00	0.00	0.32	9.18	2.78	0.63	0.63	5.09
108	0.00	0.03	0.18	0.00	0.79	0.63	 1.14	 3.36	 0.63	11.65
109	0.22	0.15	0.13	0.20	0.30	4.18	2.78	2.57	4.04	4.89
110	0.05	0.03	0.67	0.00	0.24	1.48	 1.14	10.87	 0.63	 4.02
111	0.12	0.08	0.09	0.00	0.70	2.63	 1.83	 2.04	 0.63	10.45
112	0.22	0.00	0.13	0.00	0.65	4.18	0.63	2.62	0.63	9.70
113	0.78	0.15	0.00	0.00	0.07	13.08	 2.78	 0.63	 0.63	 1.67
114	0.00	0.36	0.24	0.00	0.40	0.63	5.93	4.32	0.63	6.19
115	0.05	0.08	0.00	0.00	0.87	1.48	 1.83	 0.63	 0.63	12.75
116	0.05	0.08	0.50	0.00	0.37	1.48	1.83	8.27	0.63	5.75
117	0.78	0.03	0.07	0.00	0.12	13.08	 1.14	 1.66	 0.63	 2.31
118	0.22	0.53	0.00	0.00	0.24	4.18	8.45	0.63	0.63	4.05
119	0.05	0.15	0.13	0.20	0.47	1.48	2.78	2.57	4.04	7.26
120	0.12	0.08	0.25	0.00	0.55	2.63	1.83	4.38	0.63	8.31
121	0.35	0.03	0.07	0.00	0.54	6.30	1.14	1.66	0.63	8.25
122	0.00	0.08	0.09	0.00	0.83	0.63	 1.83	 2.04	 0.63	12.20
123	0.05	0.03	0.07	0.79	0.05	1.48	 1.14	 1.66	14.17	 1.36
124	0.05	0.08	0.09	0.20	0.57	1.48	1.83	2.04	4.04	8.66
125	0.05	0.00	0.05	0.20	0.70	1.48	 0.63	 1.38	 4.04	10.41
126	0.22	0.08	0.25	0.00	0.45	4.18	1.83	4.38	0.63	6.94
127	0.00	0.00	0.00	0.20	0.80	0.63	 0.63	 0.63	 4.04	11.83
128	0.00	0.53	0.33	0.00	0.13	0.63	8.45	5.72	0.63	2.49
129	0.05	0.08	0.00	0.20	0.67	1.48	1.83	0.63	4.04	9.95
130	0.35	0.24	0.00	0.00	0.41	6.30	4.10	0.63	0.63	6.35
131	0.78	0.00	0.05	0.00	0.17	13.08	 0.63	 1.38	 0.63	 3.04
132	0.05	0.00	0.13	0.20	0.62	1.48	0.63	2.62	4.04	9.27
133	0.53	0.24	0.00	0.00	0.23	9.18	4.10	0.63	0.63	3.83
134	0.53	0.00	0.05	0.00	0.42	9.18	0.63	1.38	0.63	6.47
135	0.12	0.08	0.50	0.20	0.09	2.63	1.83	8.27	4.04	1.95
136	0.05	0.53	0.33	0.00	0.08	1.48	8.45	5.72	0.63	1.75
137	0.12	0.03	0.67	0.00	0.17	2.63	 1.14	10.87	 0.63	 3.02
138	0.12	0.08	0.00	0.79	0.00	2.63	 1.83	 0.63	14.17	 0.64
